产品分类,产品名称,被抽样企业名称,通报单位,抽检结果,通报时间,通报文号,规格,商标,生产企业名称,生产企业地址,被抽样企业名称,被抽样企业地址,通报单位,生产省份,通报时间,不合格原因,检测结果,标准/法规限值,措施,判定结果,备注,伙伴网链接,抽检层级,网站
调味品-->香辛料调味品,黄金姜片,北京京添福嘉华商贸有限公司,北京市场监管局,不合格,2015-01-21,,110克/袋,金碧富城,广东富城食品工业有限公司,,北京京添福嘉华商贸有限公司,,北京市场监管局,,2015-01-21,二氧化硫残留量,1.14g/kg,≤0.35g/kg,对不合格食品在流通领域采取停止销售措施，名单予以公示,不合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=75313
调味品-->酿造酱,香辣酱,银川华润万家生活超市有限公司中卫分公司,安徽市场监管局,合格,2015-01-27,,350克,,宁夏宁杨清真食品有限公司,宁夏吴忠市金积清真穆斯林用品产业园,银川华润万家生活超市有限公司中卫分公司,宁夏中卫市沙坡头区鼓楼东街鼓楼东100米处,安徽市场监管局,,2015-01-27,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475547
调味品-->复合调味品,火锅底料,银川市西夏区个体经营重庆刘一手火锅店,安徽市场监管局,合格,2015-01-27,,250克,,重庆名师汇食品有限公司,重庆市九龙坡区华岩镇云峰村二社,银川市西夏区个体经营重庆刘一手火锅店,宁夏银川市西夏区怀远路金波小区34号,安徽市场监管局,,2015-01-27,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475548
调味品-->复合调味品,炒龙虾田螺火锅调料,泰安市泰山区优创食品有限公司,山东市场监管局,合格,2015-02-05,,150g/包,胖子,中国。重庆眫子天骄食品有限公司,重庆市渝北区空港新城顺义路9号,泰安市泰山区优创食品有限公司,泰安市泰山区东湖路9号,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477766
调味品-->复合调味品,重庆火锅浓缩底料,青岛良茂凯悦百货有限公司南京路购物广场,山东市场监管局,合格,2015-02-05,,150g/袋,红99,重庆红九九食品有限公司,重庆市大渡口区建胜镇建路村钓鱼嘴,青岛良茂凯悦百货有限公司南京路购物广场,青岛市莱西市南京北路118号,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477767
调味品-->复合调味品,重庆火锅浓缩底料,济南市历城区天天新超市,山东市场监管局,合格,2015-02-05,,150g/袋,红99,重庆红九九食品有限公司,重庆市大渡口区建胜镇建路村钓鱼嘴,济南市历城区天天新超市,济南市历城区西营镇西营村,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477768
调味品-->复合调味品,牛肉香辣酱,威海四海酿造有限公司,山东市场监管局,合格,2015-02-05,,220g/瓶,四海,威海四海酿造有限公司,威海市古寨西路209号,威海四海酿造有限公司,威海市高区,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477769
调味品-->复合调味品,川香麻辣锅底浓缩油,威海翠峰苑食品加工有限公司,山东市场监管局,合格,2015-02-05,,150g/袋,,威海翠峰苑食品加工有限公司,威海高区通化路12-2号,威海翠峰苑食品加工有限公司,威海市高区,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477770
调味品-->复合调味品,清油火锅底料,泰安市泰山区优创食品有限公司,山东市场监管局,合格,2015-02-05,,150g/包,,重庆胖子天骄食品有限公司,重庆市渝北区空港新城顺义路9号,泰安市泰山区优创食品有限公司,泰安市泰山区东湖路9号,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477771
调味品-->复合调味品,火锅汤料（微辣）,莱芜市朱炜超市,山东市场监管局,合格,2015-02-05,,200g/袋,华程食品,内蒙古华程科贸有限责任公司,内蒙古呼和浩特金川开发区蒙吉利小区,莱芜市朱炜超市,山东省莱芜市高新区鲁中东大街108号,山东市场监管局,,2015-02-05,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=477752
